,team,YUSAG_coef
1,Alabama,48.60840281021858
2,Clemson,46.95070469449567
3,Georgia,39.45751828135806
4,LSU,35.60073450047683
5,Penn St.,34.51557123852807
6,Michigan,33.9311102130634
7,Ohio St.,33.72299862385562
8,Oklahoma,32.65213418675255
9,Southern California,32.496864346150225
10,Notre Dame,31.911170551469187
11,Wisconsin,31.318590727632845
12,Washington St.,29.945135799401655
13,Iowa,29.88123608202938
14,Washington,29.206451412673477
15,Utah,28.77916611834849
16,West Virginia,27.5406395138508
17,Mississippi St.,27.47866530232249
18,Auburn,27.14119492860455
19,UCF,26.423762879140714
20,Stanford,25.651024594875814
21,Texas,25.20733401749376
22,Florida,25.002522697245364
23,North Carolina St.,24.16348187250188
24,Texas A&M,23.750858273727335
25,Missouri,22.79600354134808
26,Fresno St.,22.68179346311144
27,Miami (FL),22.680447781239522
28,Boise St.,22.521780667208418
29,San Diego St.,22.24064389790862
30,Oregon,22.13335111498361
31,Villanova,21.94028718751944
32,Kentucky,21.85553185389963
33,James Madison,21.839741472343693
34,Syracuse,21.75740011901415
35,Iowa St.,21.639235604435537
36,Maryland,21.458778957058982
37,Utah St.,21.383470457405267
38,South Carolina,21.066174433925926
39,Drake,20.91308788176786
40,Michigan St.,20.68633894783781
41,Oklahoma St.,20.088842330186715
42,Purdue,19.426092534756354
43,Northwestern,19.27844680706634
44,Virginia,19.2729422965629
45,Cincinnati,18.575282229308804
46,Temple,18.377730295608742
47,Texas Tech,18.30861562030465
48,Boston College,18.012909757319896
49,Vanderbilt,17.898734676538886
50,Memphis,17.453263250489616
51,Appalachian St.,17.383509202859063
52,Arizona St.,17.175492913696722
53,Kansas St.,17.08485936662022
54,Wake Forest,17.04939452249206
55,Minnesota,16.872344916285382
56,Houston,15.95979729783316
57,Georgia Tech,15.94086300345721
58,California,15.640482261768506
59,TCU,15.521336827198171
60,Tennessee St.,15.200401545714564
61,Wyoming,14.977303469257976
62,Ole Miss,14.452504176432504
63,South Dakota,14.270893396867745
64,Wofford,14.258650025324172
65,Colorado,14.178485074091883
66,The Citadel,14.086315319610618
67,Nevada,13.460228730353261
68,Indiana,13.23697310750845
69,Florida St.,13.045663063674336
70,Duke,12.918090719953375
71,Tulane,12.464416477431332
72,Nebraska,12.442988351414089
73,Virginia Tech,12.428392340614835
74,Air Force,12.027401659476714
75,BYU,12.014140815202108
76,Toledo,11.917468138166353
77,UCLA,11.842178239905923
78,Pittsburgh,11.530761013421271
79,South Dakota St.,11.415312766442558
80,Ohio,11.018130364221529
81,Baylor,10.54811412648629
82,Middle Tenn.,10.207597500153035
83,Northern Ill.,9.580016212625642
84,Army West Point,8.716555156538208
85,Buffalo,8.601564808675967
86,Illinois,8.375803709619335
87,Arizona,8.346586903406306
88,SMU,8.31864748955488
89,UNI,7.854077186336911
90,Troy,7.751095717284448
91,Fla. Atlantic,7.486093522531964
92,Weber St.,6.72541629275801
93,North Texas,6.719538201201501
94,Miami (OH),6.682578407958711
95,Louisiana,6.62888121090639
96,Samford,6.542229270799375
97,Eastern Mich.,6.190445094316821
98,Furman,6.134451021233492
99,North Carolina,5.947680721080305
100,Navy,5.733708524148872
101,Arkansas St.,4.947688814662309
102,UAB,4.9016322773742225
103,Western Mich.,4.82532098322812
104,Rutgers,4.670501711213538
105,UC Davis,4.167387116523938
106,Hawaii,4.134399975506619
107,Kansas,4.015697108400958
108,Marshall,3.9806565817816617
109,Tennessee,3.7799853900793385
110,Chattanooga,2.8821743201250842
111,Central Ark.,2.793321979195591
112,Southeastern La.,2.67187487772961
113,N.C. A&T,2.4092467552758325
114,Southern Miss.,2.3915317897583144
115,Tulsa,2.3194507589327684
116,Arkansas,1.3726137708538568
117,Louisville,1.0774578651604754
118,Ga. Southern,0.6397535247623379
119,Northern Ariz.,0.3989171566863478
120,Illinois St.,0.20383993139232662
121,Georgia St.,0.01777942687067969
122,FIU,-0.13283480776283088
123,Sacramento St.,-0.2814936175714174
124,Louisiana Tech,-0.38311387785308126
125,UNLV,-1.1749644689715486
126,Oregon St.,-1.3582473595183027
127,La.-Monroe,-1.4261725398499085
128,Kennesaw St.,-1.6770810217585572
129,Colorado St.,-1.8573147376472026
130,Eastern Wash.,-2.1320255231733913
131,Western Ill.,-2.2241312857285553
132,South Fla.,-2.5563445520710073
133,New Mexico,-2.635997017598309
134,Youngstown St.,-3.4396626493877975
135,Indiana St.,-3.698343739464549
136,Austin Peay,-3.7575758394646472
137,Liberty,-3.8407584157324193
138,Coastal Carolina,-3.9578750897934376
139,East Carolina,-4.198401786762091
140,Massachusetts,-4.299208972655347
141,San Jose St.,-4.446365657778017
142,Ball St.,-4.448552980490045
143,Central Mich.,-4.688082709441555
144,Western Ky.,-4.737004740680858
145,Idaho St.,-5.147778875935888
146,Alabama St.,-5.866244193376604
147,South Ala.,-6.148161742093686
148,Lafayette,-6.971030650855343
149,Richmond,-7.413334049326417
150,North Dakota,-7.542115846690291
151,Charlotte,-8.045662395234926
152,Maine,-8.081815364485525
153,Sam Houston St.,-8.331475098860501
154,Kent St.,-8.582846311091673
155,Bowling Green,-8.614655495879319
156,Jacksonville St.,-8.683935016155756
157,Rice,-8.900655392091734
158,Portland St.,-9.037247378757767
159,Old Dominion,-9.182522963867255
160,Rhode Island,-9.380599347047914
161,Texas St.,-9.952600404153879
162,Eastern Ky.,-10.096680844190008
163,New Hampshire,-10.583003083753356
164,UT Martin,-11.189968090080788
165,UMASS,-11.52240512199945
166,UTSA,-11.568977546568323
167,Nicholls St.,-11.728196505130274
168,Abilene Christian,-12.073809187660267
169,Akron,-12.094071949009559
170,Delaware,-12.167153942319862
171,McNeese,-12.665748460862613
172,Towson,-13.145338262657408
173,Norfolk St.,-13.20971707304096
174,Montana St.,-14.02216237848523
175,Southern Ill.,-14.65616395404445
176,New Mexico St.,-14.674897291947024
177,Missouri St.,-16.487054549525478
178,Bethune-Cookman,-16.633853917098637
179,Robert Morris,-17.09146703057892
180,UConn,-17.27412956825515
181,UTEP,-17.279229118584382
182,Murray St.,-17.785757455075743
183,Houston Baptist,-17.995150170469977
184,Albany (NY),-18.52834768827403
185,Charleston So.,-18.585320550384388
186,South Carolina St.,-18.653962971950907
187,Ark.-Pine Bluff,-18.71427409750488
188,Prairie View,-18.721872516955134
189,Northern Colo.,-18.776312766131085
190,Western Caro.,-18.95624388254622
191,Southeast Mo. St.,-19.13678160887219
192,Wagner,-19.390268819095287
193,ETSU,-19.623580317467898
194,Elon,-20.16297483356301
195,Grambling,-21.1989989359429
196,Lehigh,-21.932558879112122
197,Campbell,-21.983559819295944
198,Stony Brook,-22.29777859381209
199,Alcorn,-22.80474204949847
200,Mercer,-22.865079223827177
201,Cal Poly,-22.952062246560395
202,Bucknell,-23.314681779761216
203,Colgate,-23.467392722154553
204,Montana,-24.287669184914368
205,Presbyterian,-24.4442525569291
