,team,YUSAG_coef
1,Penn St.,67.38250088093413
2,Fresno St.,60.357884864423205
3,Maryland,59.16086369917422
4,Washington,54.40031686917438
5,Washington St.,53.61899462047945
6,Oregon,45.45511917248346
7,Nevada,43.04244971694278
8,Texas Tech,42.15980704991352
9,Utah,39.71239849047349
10,Miami (FL),38.599808500114506
11,Rutgers,37.15235892806603
12,UCF,37.081498875580145
13,Tennessee,35.47662461961634
14,Stanford,33.885163762023296
15,Clemson,33.84047633919973
16,Utah St.,33.766203921142605
17,Memphis,33.31426315389464
18,Florida,32.7642961261785
19,Air Force,32.643645849629124
20,Georgia,31.551346780090537
21,Mississippi St.,31.420064403973072
22,Boston College,29.053569173929784
23,UMASS,28.809960389949584
24,Kansas St.,28.174254658159555
25,California,27.420292111570973
26,Texas A&M,27.307429791400903
27,North Dakota St.,25.77543899765085
28,Missouri,25.413303551423766
29,Oklahoma St.,25.407927253805852
30,Eastern Wash.,25.02161253462099
31,Arkansas St.,24.363672408683573
32,LSU,24.21056773540929
33,Arizona,23.87167965137806
34,Cincinnati,23.643625488563334
35,Virginia Tech,23.56954826211842
36,Syracuse,23.119038035801264
37,Toledo,23.019332294052095
38,Wake Forest,22.93159205208737
39,North Carolina St.,22.367561762778404
40,UNLV,21.80031121197707
41,Georgia Tech,21.770763013486803
42,Ole Miss,21.634172286093886
43,Minnesota,20.67844861805065
44,Alabama,20.572325108398125
45,Colorado,20.30339286486585
46,Tulane,19.802269376695
47,West Virginia,19.744964165951362
48,Illinois,19.382925604971135
49,Appalachian St.,17.330895184899987
50,Kentucky,17.312800604732278
51,UC Davis,17.10288058780745
52,Louisville,17.039483067991316
53,Western Mich.,16.894876314682698
54,Northern Ill.,16.883573399371592
55,South Dakota St.,16.85321763186956
56,Navy,16.615320520329544
57,UTSA,16.349027331049328
58,Princeton,16.12069585352916
59,Kent St.,15.856884138251779
60,Nebraska,15.660224786792396
61,Baylor,15.315196105402366
62,Middle Tenn.,14.423581639040336
63,Auburn,14.377090557229435
64,James Madison,14.20521506725106
65,Houston,14.06547606753847
66,Weber St.,13.723714620740953
67,Eastern Mich.,13.687667292439196
68,North Texas,12.940982902249916
69,Bowling Green,12.788777104408352
70,Oregon St.,12.379316425620752
71,South Fla.,11.654991265454369
72,Duke,11.216637689584076
73,North Dakota,11.16989275169795
