,team,YUSAG_coef
2,Alabama,37.172311083914245
3,Clemson,34.8741355742733
4,Georgia,27.650082220020433
5,LSU,24.132342700381493
6,Penn St.,22.23189987258665
7,Michigan,21.987895254622625
8,Ohio St.,21.92760408418274
9,Oklahoma,21.79817490842183
10,Southern California,20.51069485387519
11,Notre Dame,20.000384798887655
12,Wisconsin,19.334371990137786
13,Iowa,17.73746604491583
14,West Virginia,17.734617860558195
15,Washington St.,17.7048341006051
16,Washington,17.197916040390556
17,Utah,16.61771669545314
18,Mississippi St.,15.829336792736976
19,UCF,15.826285240723642
20,Texas,14.282839912091573
21,Stanford,13.814427907287225
22,Auburn,13.425933391469465
23,Florida,13.079448154610082
24,Texas A&M,12.766145716399105
25,North Carolina St.,12.069008341175634
26,Missouri,11.12031296576015
27,Iowa St.,11.072413846895548
28,Miami (FL),10.802653109163732
29,Fresno St.,10.650707607856782
30,Boise St.,10.555895280673138
31,Kentucky,10.139754070505367
32,South Carolina,9.152583632203823
33,Oklahoma St.,9.115886806410982
34,Utah St.,9.111030973208292
35,Oregon,8.913718011693366
36,Syracuse,8.837138872141999
37,Virginia,8.436046828696396
38,Michigan St.,8.12505570251278
39,TCU,7.393252726251235
40,Cincinnati,7.205288515423633
41,Northwestern,7.161764465627824
42,Texas Tech,7.147454038677758
43,Appalachian St.,6.911393447737498
44,Purdue,6.881121189283863
45,Temple,6.406925308766227
46,Vanderbilt,6.302494054239056
47,Boston College,6.008406683201066
48,Arizona St.,5.526794243727799
49,Memphis,5.360930507403389
50,Wake Forest,5.076140004800155
51,Kansas St.,4.749206172319725
52,Maryland,4.619833197351273
53,Minnesota,4.582601373113592
54,Houston,4.281214205084809
55,Ohio,4.084518624459076
56,Georgia Tech,4.072076116989514
57,California,3.6555819747627685
58,Wyoming,3.1812497573794385
59,Ole Miss,2.649453890927763
60,Colorado,2.523357590841752
61,Duke,1.5002699291654404
62,Indiana,1.1314248343651996
63,Tulane,1.0852696256392738
64,Virginia Tech,0.8653338272564073
65,Florida St.,0.7470474590839495
66,Pittsburgh,0.45050996795126697
67,Baylor,0.2944775956385553
68,UCLA,0.18190352484799444
69,Nevada,0.027981111202233525
70,BYU,-0.045922115241965905
71,Middle Tenn.,-0.0950064955049914
72,San Diego St.,-0.21105663739848807
73,Toledo,-0.4778544056526154
74,Nebraska,-0.48246862291493325
75,UAB,-1.3575005743211892
76,Air Force,-1.652645190194799
77,Buffalo,-1.66439860055142
78,Army West Point,-1.7656281991350096
79,Troy,-2.0846267219748715
80,Arizona,-2.9182863719045677
81,Northern Ill.,-2.9883260397429234
82,Fla. Atlantic,-3.1108885081853477
83,Marshall,-3.2782800982741604
84,Kansas,-3.5998402553258675
85,SMU,-3.6771615291333783
86,Illinois,-4.238074023121653
87,North Texas,-4.534131549471227
88,Miami (OH),-4.696340118826039
89,Louisiana,-5.170311005376494
90,Eastern Mich.,-5.621321789615257
91,North Carolina,-5.7610530980874115
92,Navy,-6.162235689872268
93,Hawaii,-6.595786698256121
94,Arkansas St.,-7.173508208887147
95,Arkansas,-7.534127708110036
96,Rutgers,-7.909536247505138
97,Southern Miss.,-8.043866156377744
98,Western Mich.,-8.525582885166855
99,Tennessee,-9.754904886063404
100,Tulsa,-10.006497744225578
101,Louisiana Tech,-11.010893670800431
102,Ga. Southern,-11.4672625231923
103,FIU,-11.785621759673397
104,Louisville,-12.15930840574917
105,Georgia St.,-12.360177006430852
106,Oregon St.,-12.645274395797637
107,Colorado St.,-12.952381350413141
108,La.-Monroe,-13.47768862946819
109,Western Ky.,-13.60426711248641
110,New Mexico,-13.707715468703283
111,South Fla.,-14.432702277022383
112,UNLV,-14.439557253528605
113,Massachusetts,-15.515452672291335
114,East Carolina,-15.805523934768216
115,Ball St.,-16.08372683079177
116,Coastal Carolina,-16.26696155616956
117,San Jose St.,-16.69936327076658
118,Charlotte,-16.978989638383208
119,Central Mich.,-17.141489915383477
120,Old Dominion,-17.31240637586019
121,Rice,-18.862697631545508
122,Kent St.,-19.772225631075113
123,South Ala.,-20.030894163675228
124,Bowling Green,-21.10485281767828
125,Texas St.,-21.108899959830506
126,UTSA,-22.325773604966475
127,Akron,-23.833742032975827
128,UMASS,-24.873004874556575
129,UTEP,-27.086354201537148
130,New Mexico St.,-27.642331122168766
131,UConn,-29.31638311739395
132,Idaho,-44.86325582128894
