year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2019,8,31,Akron,Illinois,V,3,42,NA,2
2019,8,31,Alabama,Duke,H,42,3,NA,2
2019,8,25,Arizona,Hawaii,V,38,45,NA,2
2019,8,30,Arizona St.,Kent St.,H,30,7,NA,2
2019,9,1,Arkansas St.,SMU,H,30,37,NA,2
2019,8,30,Army West Point,Rice,H,14,7,NA,2
2019,9,1,Auburn,Oregon,H,27,21,NA,2
2019,8,31,Ball St.,Indiana,H,24,34,NA,2
2019,8,31,Boise St.,Florida St.,V,36,31,NA,2
2019,8,31,Boston College,Virginia Tech,H,35,28,NA,2
2019,8,30,BYU,Utah,H,12,30,NA,2
2019,8,30,Cincinnati,UCLA,H,24,14,NA,2
2019,8,30,Clemson,Georgia Tech,H,52,14,NA,2
2019,8,31,Coastal Carolina,Eastern Mich.,H,23,30,NA,2
2019,8,31,Colorado,Colorado St.,H,52,31,NA,2
2019,8,31,Colorado St.,Colorado,V,31,52,NA,2
2019,8,31,Duke,Alabama,V,3,42,NA,2
2019,8,31,East Carolina,North Carolina St.,V,6,34,NA,2
2019,8,31,Eastern Mich.,Coastal Carolina,V,30,23,NA,2
2019,8,30,FIU,Tulane,V,14,42,NA,2
2019,8,31,Fla. Atlantic,Ohio St.,V,21,45,NA,2
2019,8,25,Florida,Miami (FL),H,24,20,NA,2
2019,8,31,Florida St.,Boise St.,H,31,36,NA,2
2019,9,1,Fresno St.,South Carolina,V,23,31,NA,2
2019,9,1,Ga. Southern,LSU,V,3,55,NA,2
2019,9,1,Georgia,Vanderbilt,V,30,6,NA,2
2019,8,31,Georgia St.,Tennessee,V,38,30,NA,2
2019,8,30,Georgia Tech,Clemson,V,14,52,NA,2
2019,8,25,Hawaii,Arizona,H,45,38,NA,2
2019,9,2,Houston,Oklahoma,V,31,49,NA,2
2019,8,31,Idaho,Penn St.,V,7,79,NA,2
2019,8,31,Illinois,Akron,H,42,3,NA,2
2019,8,31,Indiana,Ball St.,V,34,24,NA,2
2019,9,1,Iowa,Miami (OH),H,38,14,NA,2
2019,8,30,Kent St.,Arizona St.,V,7,30,NA,2
2019,8,31,Kentucky,Toledo,H,38,24,NA,2
2019,8,31,Louisiana,Mississippi St.,H,28,38,NA,2
2019,9,1,Louisiana Tech,Texas,V,14,45,NA,2
2019,9,1,LSU,Ga. Southern,H,55,3,NA,2
2019,8,31,Memphis,Ole Miss,H,15,10,NA,2
2019,8,25,Miami (FL),Florida,V,20,24,NA,2
2019,9,1,Miami (OH),Iowa,V,14,38,NA,2
2019,9,1,Michigan,Middle Tenn.,H,40,21,NA,2
2019,8,31,Michigan St.,Tulsa,H,28,7,NA,2
2019,9,1,Middle Tenn.,Michigan,V,21,40,NA,2
2019,8,30,Minnesota,San Diego St.,H,28,21,NA,2
2019,8,31,Mississippi St.,Louisiana,V,38,28,NA,2
2019,9,1,Missouri,Wyoming,V,31,37,NA,2
2019,8,31,Nebraska,South Ala.,H,35,21,NA,2
2019,8,31,Nevada,Purdue,H,34,31,NA,2
2019,9,1,New Mexico St.,Washington St.,V,7,58,NA,2
2019,8,31,North Carolina St.,East Carolina,H,34,6,NA,2
2019,8,31,Northwestern,Stanford,V,7,17,NA,2
2019,8,31,Ohio St.,Fla. Atlantic,H,45,21,NA,2
2019,9,2,Oklahoma,Houston,H,49,31,NA,2
2019,8,31,Oklahoma St.,Oregon St.,V,52,36,NA,2
2019,8,31,Ole Miss,Memphis,V,10,15,NA,2
2019,9,1,Oregon,Auburn,V,21,27,NA,2
2019,8,31,Oregon St.,Oklahoma St.,H,36,52,NA,2
2019,8,31,Penn St.,Idaho,H,79,7,NA,2
2019,9,1,Pittsburgh,Virginia,H,14,30,NA,2
2019,8,31,Purdue,Nevada,V,31,34,NA,2
2019,8,30,Rice,Army West Point,V,7,14,NA,2
2019,8,31,Rutgers,UMASS,H,48,21,NA,2
2019,8,30,San Diego St.,Minnesota,V,21,28,NA,2
2019,9,1,SMU,Arkansas St.,V,37,30,NA,2
2019,8,31,South Ala.,Nebraska,V,21,35,NA,2
2019,9,1,South Carolina,Fresno St.,H,31,23,NA,2
2019,8,31,South Fla.,Wisconsin,H,0,49,NA,2
2019,8,31,Stanford,Northwestern,H,17,7,NA,2
2019,8,31,Tennessee,Georgia St.,H,30,38,NA,2
2019,9,1,Texas,Louisiana Tech,H,45,14,NA,2
2019,8,30,Texas A&M,Texas St.,H,41,7,NA,2
2019,8,30,Texas St.,Texas A&M,V,7,41,NA,2
2019,8,31,Toledo,Kentucky,V,24,38,NA,2
2019,8,30,Tulane,FIU,H,42,14,NA,2
2019,8,31,Tulsa,Michigan St.,V,7,28,NA,2
2019,8,30,UCLA,Cincinnati,V,14,24,NA,2
2019,8,31,UMASS,Rutgers,V,21,48,NA,2
2019,8,30,Utah,BYU,V,30,12,NA,2
2019,8,31,Utah St.,Wake Forest,V,35,38,NA,2
2019,9,1,Vanderbilt,Georgia,H,6,30,NA,2
2019,9,1,Virginia,Pittsburgh,V,30,14,NA,2
2019,8,31,Virginia Tech,Boston College,V,28,35,NA,2
2019,8,31,Wake Forest,Utah St.,H,38,35,NA,2
2019,9,1,Washington St.,New Mexico St.,H,58,7,NA,2
2019,8,31,Wisconsin,South Fla.,V,49,0,NA,2
2019,9,1,Wyoming,Missouri,H,37,31,NA,2
