,team,YUSAG_coef
1,Alabama,37.403143991477165
2,Clemson,34.89442715767554
3,Georgia,27.918156985486384
4,LSU,24.40414617529735
5,Penn St.,22.316770138222427
6,Michigan,22.033460318308123
7,Ohio St.,21.99758599799872
8,Oklahoma,21.931008221267913
9,Southern California,20.742439342550465
10,Notre Dame,20.070213958012303
11,Wisconsin,19.39472938558692
12,Washington St.,18.355397902482487
13,Iowa,17.86085197968574
14,West Virginia,17.834577729108926
15,Washington,17.614593149270664
16,Utah,16.963607760115906
17,Mississippi St.,16.13049899360206
18,UCF,15.908874843672695
19,Auburn,14.783717727232952
20,Texas,14.459052724638676
21,Stanford,14.068230445405604
22,Florida,13.195358366061159
23,Texas A&M,13.034332552978569
24,North Carolina St.,11.97170480011129
25,Missouri,11.33571001453561
26,Iowa St.,11.175032961121346
27,Miami (FL),10.823966930357463
28,Fresno St.,10.762404303419101
29,Boise St.,10.523316775266528
30,Kentucky,10.291991671077124
31,Oregon,9.591461145221238
32,South Carolina,9.353693021165874
33,Oklahoma St.,9.26171312185625
34,Utah St.,9.228524433310481
35,Syracuse,8.920219630773435
36,Michigan St.,8.241827653219518
37,Virginia,8.02742816782271
38,TCU,7.510622697969513
39,Cincinnati,7.355398814148724
40,Northwestern,7.318170696787345
41,Texas Tech,7.261256726663707
42,Purdue,6.993250396986255
43,Appalachian St.,6.915382816801034
44,Temple,6.516804155594033
45,Vanderbilt,6.500585479142641
46,Boston College,5.950737187681094
47,Arizona St.,5.784272772538569
48,Memphis,5.519772472866388
49,Wake Forest,5.119238430691643
50,Kansas St.,4.876914523748254
51,Maryland,4.7348337864480765
52,Minnesota,4.7255056444386945
53,Houston,4.434480919744765
54,Ohio,4.227569263223105
55,Georgia Tech,4.078082911476409
56,California,3.967743597789446
57,Wyoming,3.358683066929103
58,Ole Miss,2.941700276549918
59,Colorado,2.7481201335860943
60,Duke,1.5784207242711177
61,Indiana,1.2054899410164097
62,Tulane,1.130734584121386
63,Florida St.,0.7350310643252634
64,Virginia Tech,0.6509371573550435
65,UCLA,0.4303521056960216
66,Pittsburgh,0.294625454998015
67,BYU,0.26838643319828526
68,Baylor,0.1532949730241021
69,Nevada,0.14764660127741386
70,San Diego St.,-0.11841545786745336
71,Middle Tenn.,-0.15447881925630527
72,Toledo,-0.3288751069806475
73,Nebraska,-0.4708814622181525
74,UAB,-0.9936097754779534
75,Army West Point,-1.239012489541243
76,Buffalo,-1.479199236708252
77,Air Force,-1.6048436235832126
78,North Texas,-2.3114470335645816
79,Arizona,-2.616511536751733
80,Northern Ill.,-2.8311991631966413
81,Fla. Atlantic,-3.102422333863684
82,SMU,-3.402024199938376
83,Troy,-3.43224767931365
84,Kansas,-3.4853790738506127
85,Marshall,-3.502828065362489
86,Illinois,-4.12884289036107
87,Miami (OH),-4.547837700340306
88,Louisiana,-4.997907149120869
89,Eastern Mich.,-5.482359093255054
90,North Carolina,-5.840873844135501
91,Navy,-5.995039147284237
92,Hawaii,-6.3780187881586174
93,Arkansas St.,-7.006628120731666
94,Arkansas,-7.042887731102318
95,Southern Miss.,-7.57251591263366
96,Rutgers,-7.673085904228334
97,Western Mich.,-8.39771199098666
98,Tennessee,-9.572673570274489
99,Tulsa,-9.850550594820731
100,Louisiana Tech,-10.661325679952672
101,Ga. Southern,-11.28027756361593
102,FIU,-11.890453549337181
103,Louisville,-12.178903823610087
104,Georgia St.,-12.30462074199697
105,Oregon St.,-12.395640490600037
106,Colorado St.,-12.818961410305432
107,La.-Monroe,-13.390986628792506
108,Western Ky.,-13.800135178727574
109,South Fla.,-14.342411669407223
110,UNLV,-14.358170834288966
111,New Mexico,-14.624070578212534
112,Massachusetts,-15.6555242522994
113,East Carolina,-15.92098124478615
114,Ball St.,-15.995532550901798
115,Coastal Carolina,-16.207324043002657
116,San Jose St.,-16.45403447058687
117,Central Mich.,-17.001908824189524
118,Charlotte,-17.14863422093693
119,Liberty,-17.33016633958881
120,Rice,-18.559866947754188
121,Kent St.,-19.573808904471974
122,South Ala.,-19.992082909555492
123,Old Dominion,-20.140156123630206
124,Texas St.,-20.9251964332786
125,Bowling Green,-20.926009026858377
126,UTSA,-21.9737438744211
127,Akron,-23.695428774909757
128,UMASS,-24.33343181718367
129,New Mexico St.,-26.29187950174989
130,UTEP,-26.59713909816447
131,UConn,-29.191889479724242
132,Idaho,-44.737211802771945
