,team,YUSAG_coef
1,Eastern Wash.,39.32273535585554
2,North Dakota St.,38.168323551401535
3,UC Davis,29.853629721059328
4,Princeton,29.2678818295534
5,South Dakota St.,28.869641597466426
6,James Madison,26.767148427301088
7,Weber St.,26.166130673289018
8,North Dakota,23.728690274955394
9,Dartmouth,21.052108286246643
10,Montana,20.681939552186456
11,Sacramento St.,20.293904379960864
12,Illinois St.,18.130693835305188
13,Montana St.,17.92611513066094
14,Kennesaw St.,16.9596631078239
15,Nicholls St.,16.957880514696374
16,Maine,16.614140004306336
17,Villanova,16.074149996066044
18,Idaho St.,14.499697943925026
19,Youngstown St.,14.435564414457751
20,Cal Poly,14.106640593734065
21,Western Ill.,13.664603758632563
22,Stony Brook,13.241972282554627
23,Southeast Mo. St.,13.105642095082278
24,Portland St.,12.968595238963404
25,Harvard,12.323541612966672
26,Towson,12.299211535299388
27,Coastal Caro.,12.069082452538712
28,Southeastern La.,10.788741654795691
29,Southern Utah,10.758803771650685
30,Northern Ariz.,10.709869801237948
31,Central Ark.,10.244162390886581
32,Jacksonville St.,9.099527127136309
33,Incarnate Word,9.010875480200635
34,Yale,8.996303597279978
35,N.C. A&T,8.98020760381399
36,Sam Houston St.,8.89036815876229
37,Colgate,8.661036008507716
38,Elon,8.640032801311639
39,Rhode Island,8.592299475760672
40,New Hampshire,7.766539834242794
41,Delaware,7.689717610104377
42,Liberty,7.5000815530675515
43,Furman,7.4804677088878675
44,South Dakota,7.412896310676145
45,Eastern Ky.,6.903980943530789
46,UT Martin,6.736274738846201
47,Abilene Christian,6.547625162711642
48,Northern Colo.,6.540149723216173
49,Indiana St.,6.225600484891431
50,Austin Peay,5.9297819543315065
51,San Diego,5.652378073520034
52,Lamar University,4.724022428539774
53,Mercer,3.528551368541955
54,Southern Ill.,3.2601368274519125
55,Chattanooga,2.8960225327781353
56,UNI,1.4422618227133845
57,Columbia,1.1700128520869328
58,South Carolina St.,1.0552071799118203
59,Wofford,0.9346733466543128
60,Penn,0.7264680793859407
61,Dayton,0.6788518838072957
62,The Citadel,0.3265598555064965
63,Missouri St.,-0.31045485109342674
64,McNeese,-0.4022744253208189
65,Duquesne,-0.5708097253634429
66,Holy Cross,-0.7495301418612584
67,Richmond,-1.2986050955258528
68,Albany (NY),-2.1050319891788845
69,Murray St.,-2.1142911276315637
70,Samford,-2.202531059861689
71,Florida A&M,-2.526283628937197
72,ETSU,-3.1465812080195597
73,Cornell,-3.1649503272863564
74,Morehead St.,-3.23530663805658
75,Eastern Ill.,-3.7089023565046113
76,William & Mary,-3.906888363975159
77,Bethune-Cookman,-4.250605353876674
78,Drake,-4.28935257307694
79,Charlotte,-4.41331004616631
80,Northwestern St.,-4.422495418335343
81,Sacred Heart,-4.632512275209272
82,Alcorn,-4.828767147697287
83,Howard,-4.932526543151617
84,Prairie View,-5.087140790585617
85,SFA,-5.2696612466021495
86,Central Conn. St.,-5.796274306306763
87,Monmouth,-6.298544668577285
88,Morgan St.,-8.760767591855751
89,Saint Francis (PA),-8.958247362878154
90,Marist,-10.763112524530495
91,Butler,-11.008740513550809
92,Tennessee St.,-11.15635882931807
93,Savannah St.,-11.413052235628367
94,Grambling,-12.025001154825471
95,Stetson,-12.151048854497114
96,Southern U.,-12.799500494266574
97,Tennessee Tech,-12.836985186401916
98,Bryant,-12.982548479966399
99,Norfolk St.,-13.136986823597935
100,Brown,-13.166212857434825
101,Campbell,-13.258423441166014
102,Davidson,-13.730587353360697
103,Alabama A&M,-13.74426771961385
104,Western Caro.,-14.259281646141376
105,Georgetown,-14.537734888728385
106,Charleston So.,-14.989874701953312
107,Houston Baptist,-15.031765860118385
108,Delaware St.,-15.130697148896022
109,Wagner,-15.237964606254492
110,Lehigh,-15.342238806163557
111,Fordham,-15.909554118766472
112,N.C. Central,-16.301850029022543
113,Bucknell,-18.501208531044703
114,Lafayette,-18.63943883501186
115,Jacksonville,-20.57773222696679
116,VMI,-21.19638417993818
117,Valparaiso,-21.78666067872877
118,Gardner-Webb,-22.457160858103467
119,Jackson St.,-22.683536694659967
120,Robert Morris,-23.514189671605415
121,Hampton,-25.11696756942517
122,Alabama St.,-28.411093847179423
123,Mississippi Val.,-28.421242534677948
124,Presbyterian,-28.432095724269104
125,Texas Southern,-28.529407580750654
126,Ark.-Pine Bluff,-35.48626485341773
