year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2019,8,30,Austin Peay,N.C. Central,H,41,10,NA,2
2019,9,1,Bethune-Cookman,Jackson St.,V,36,15,NA,2
2019,8,30,Bryant,Stony Brook,V,10,35,NA,2
2019,8,31,Butler,North Dakota St.,V,10,57,NA,2
2019,8,31,Cal Poly,San Diego,H,52,34,NA,2
2019,8,31,Central Conn. St.,Fordham,V,26,23,NA,2
2019,8,31,Charleston So.,Furman,V,13,46,NA,2
2019,8,30,Chattanooga,Eastern Ill.,H,24,10,NA,2
2019,8,24,Colgate,Villanova,H,14,34,NA,2
2019,8,31,Davidson,Georgetown,H,27,20,NA,2
2019,8,30,Delaware,Delaware St.,H,31,13,NA,2
2019,8,30,Delaware St.,Delaware,V,13,31,NA,2
2019,8,31,Drake,North Dakota,V,7,47,NA,2
2019,8,30,Eastern Ill.,Chattanooga,V,10,24,NA,2
2019,8,30,Eastern Ky.,Valparaiso,H,53,7,NA,2
2019,8,31,Elon,N.C. A&T,V,21,24,NA,2
2019,8,31,Fordham,Central Conn. St.,H,23,26,NA,2
2019,8,31,Furman,Charleston So.,H,46,13,NA,2
2019,8,31,Georgetown,Davidson,V,20,27,NA,2
2019,9,1,Jackson St.,Bethune-Cookman,H,15,36,NA,2
2019,8,30,Jacksonville,Richmond,V,19,38,NA,2
2019,8,30,Jacksonville St.,Southeastern La.,V,14,35,NA,2
2019,8,31,Lafayette,William & Mary,V,17,30,NA,2
2019,8,31,Lehigh,Saint Francis (PA),H,13,14,NA,2
2019,8,30,Maine,Sacred Heart,H,42,14,NA,2
2019,9,1,McNeese,Southern U.,H,34,28,NA,2
2019,8,31,Mercer,Western Caro.,V,49,27,NA,2
2019,9,1,Mississippi Val.,Tennessee St.,V,20,26,NA,2
2019,8,30,Missouri St.,Northern Ariz.,V,23,37,NA,2
2019,8,31,Montana,South Dakota,V,31,17,NA,2
2019,8,29,Morehead St.,UNI,H,44,7,NA,2
2019,8,31,N.C. A&T,Elon,H,24,21,NA,2
2019,8,30,N.C. Central,Austin Peay,V,10,41,NA,2
2019,8,31,North Dakota,Drake,H,47,7,NA,2
2019,8,31,North Dakota St.,Butler,H,57,10,NA,2
2019,8,30,Northern Ariz.,Missouri St.,H,37,23,NA,2
2019,8,30,Northwestern St.,UT Martin,V,20,42,NA,2
2019,8,31,Prairie View,Texas Southern,V,44,23,NA,2
2019,8,30,Richmond,Jacksonville,H,38,19,NA,2
2019,9,1,Sacramento St.,Southern U.,H,77,19,NA,2
2019,8,30,Sacred Heart,Maine,V,14,42,NA,2
2019,8,31,Saint Francis (PA),Lehigh,V,14,13,NA,2
2019,8,24,Samford,Youngstown St.,H,22,45,NA,2
2019,9,1,Samford,Tennessee Tech,V,58,59,2,2
2019,8,31,San Diego,Cal Poly,V,34,52,NA,2
2019,8,31,South Carolina St.,Wofford,H,28,13,NA,2
2019,8,31,South Dakota,Montana,H,17,31,NA,2
2019,9,1,South Dakota St.,Weber St.,H,6,0,NA,2
2019,8,30,Southeast Mo. St.,Southern Ill.,H,44,26,NA,2
2019,8,30,Southeastern La.,Jacksonville St.,H,35,14,NA,2
2019,8,30,Southern Ill.,Southeast Mo. St.,V,26,44,NA,2
2019,9,1,Southern U.,McNeese,V,28,34,NA,2
2019,9,1,Southern U.,Sacramento St.,V,19,77,NA,2
2019,8,30,Stony Brook,Bryant,H,35,10,NA,2
2019,9,1,Tennessee St.,Mississippi Val.,H,26,20,NA,2
2019,9,1,Tennessee Tech,Samford,H,59,58,2,2
2019,8,31,Texas Southern,Prairie View,H,23,44,NA,2
2019,8,31,The Citadel,Towson,H,21,28,NA,2
2019,8,31,Towson,The Citadel,V,28,21,NA,2
2019,8,29,UNI,Morehead St.,V,7,44,NA,2
2019,8,30,UT Martin,Northwestern St.,H,42,20,NA,2
2019,8,30,Valparaiso,Eastern Ky.,V,7,53,NA,2
2019,8,24,Villanova,Colgate,V,34,14,NA,2
2019,9,1,Weber St.,South Dakota St.,V,0,6,NA,2
2019,8,31,Western Caro.,Mercer,H,27,49,NA,2
2019,8,31,William & Mary,Lafayette,H,30,17,NA,2
2019,8,31,Wofford,South Carolina St.,V,13,28,NA,2
2019,8,24,Youngstown St.,Samford,V,45,22,NA,2
